Time Elapsed, CPU utilized, Memory usaged
475,199.4,1089196032
476,198.8,1089482752
477,200.7,1089822720
478,212.9,1089884160
479,210.9,1089642496
480,240.9,1089757184
481,244.2,1089712128
482,235.9,1089712128
483,258.9,1089712128
484,242.9,1089712128
485,237.9,1089712128
486,240.2,1089712128
487,260.8,1094180864
488,272.8,1094803456
489,262.9,1094803456
490,244.9,1094803456
491,285.5,1094803456
492,249.5,1094803456
493,265.8,1094803456
494,265.7,1094803456
495,247.8,1094803456
496,265.7,1094758400
497,264.8,1094758400
498,249.8,1094758400
499,280.8,1094766592
500,254.8,1094774784
501,265.8,1094787072
502,194.8,1094787072
503,262.7,1094787072
504,215.9,1094787072
505,244.8,1094787072
506,252.8,1094815744
507,240.7,1094815744
508,269.6,1094815744
509,235.9,1094815744
510,244.7,1094819840
511,276.8,1094819840
512,215.9,1094819840
513,215.8,1094819840
514,219.7,1094823936
515,194.9,1097240576
516,262.9,1097240576
517,245.9,1097953280
518,276.8,1097986048
519,243.3,1098035200
520,228.9,1097678848
521,242.7,1097687040
522,267.8,1097687040
523,238.8,1097736192
524,243.9,1097814016
525,239.9,1097691136
526,256.9,1097572352
527,225.9,1097572352
528,254.7,1097568256
529,226.7,1097568256
530,246.9,1097482240
531,274.9,1097482240
532,172.9,1097482240
533,240.9,1097482240
534,257.9,1097596928
535,244.9,1097596928
536,235.9,1097596928
537,263.9,1097596928
538,238.9,1097596928
539,259.9,1097678848
540,260.9,1097678848
541,235.9,1097678848
542,264.5,1097682944
543,222.8,1097682944
544,271.9,1097682944
545,263.9,1097682944
546,269.7,1097682944
547,265.8,1097682944
548,250.9,1097682944
549,243.7,1097682944
550,267.3,1097682944
551,267.8,1097682944
552,255.9,1097740288
553,272.9,1097662464
554,264.8,1097662464
555,252.9,1097662464
556,277.9,1097662464
557,270.9,1097662464
558,242.9,1097662464
559,245.8,1097129984
560,246.9,1095983104
561,268.9,1095983104
562,234.9,1095991296
563,265.9,1095991296
564,272.8,1095991296
565,192.9,1095933952
566,247.9,1095933952
567,274.9,1095933952
568,266.8,1095856128
569,266.9,1095856128
570,272.9,1095856128
571,262.8,1095856128
572,271.7,1095856128
573,266.8,1095856128
574,263.9,1095856128
575,243.9,1095868416
576,266.9,1095868416
577,246.9,1095860224
578,285.9,1095950336
579,257.9,1095950336
580,224.9,1096212480
581,232.6,1096212480
582,166.9,1096212480
583,242.9,1096216576
584,221.9,1096216576
585,203.6,1093091328
586,183.9,1093099520
587,234.8,1093042176
588,240.9,1097793536
589,266.9,1097793536
590,269.9,1097793536
591,212.7,1097785344
592,257.1,1097760768
593,229.9,1097760768
594,249.9,1097961472
595,263.8,1097961472
596,240.8,1097981952
597,253.9,1097981952
598,221.4,1097981952
599,249.9,1097981952
600,227.9,1097981952
601,257.8,1097981952
602,268.9,1097981952
603,249.7,1097981952
604,269.8,1097981952
605,258.7,1097981952
606,249.0,1097981952
607,254.9,1097981952
608,250.9,1097981952
609,264.8,1097981952
610,231.9,1097981952
611,262.9,1097957376
612,262.7,1097957376
613,246.7,1097957376
614,261.9,1097957376
615,254.9,1097957376
616,218.9,1097957376
617,241.9,1097965568
618,205.7,1097965568
619,242.7,1097375744
620,259.9,1097375744
