Time Elapsed, CPU utilized, Memory usaged
604,2.0,657133568
605,33.0,657133568
606,6.0,657297408
607,60.9,658456576
608,11.0,658665472
609,2.0,658812928
610,37.0,658178048
611,75.9,672305152
612,5.0,672305152
613,4.0,672305152
614,0.0,672305152
615,18.0,672800768
616,0.0,661995520
617,2.0,662040576
618,8.0,662052864
619,1.0,662052864
620,39.0,663232512
621,7.0,663777280
622,1.0,664498176
623,9.0,664596480
624,1.0,664596480
625,3.0,665227264
626,1.0,665227264
627,0.0,665227264
628,27.0,665423872
629,1.0,665395200
630,10.0,664629248
631,4.0,664629248
632,1.0,664629248
633,11.0,633331712
634,1.0,633638912
635,18.0,634986496
636,1.0,635236352
637,1.0,635453440
638,28.0,635568128
639,0.0,636149760
640,4.0,637263872
